# This file contains a set of SHP prototypes.
# You must set at least 4 different SHP, used by statuses.
# -----------------------------------------------
# Comment;Id;Texture;TextureCount;ShaderIndex;CycleDuration
# ;Int32;String;Int32;UInt8;Int32
# -----------------------------------------------
Slow;0;EmbeddedAsset/BattleMap/Status/Slow/Slow_%;6;0;9
Haste;1;EmbeddedAsset/BattleMap/Status/Haste/Haste_%;6;0;9
Silence;2;EmbeddedAsset/BattleMap/Status/Silence/Silence_%;3;0;9
Trouble;3;EmbeddedAsset/BattleMap/Status/Trouble/Trouble_%;4;0;9
PowerBreak;4;EmbeddedAsset/BattleMap/Status/PowerBreak/PowerBreak_%;4;0;9
MagicBreak;5;EmbeddedAsset/BattleMap/Status/MagicBreak/MagicBreak_%;4;0;9
ArmorBreak;6;EmbeddedAsset/BattleMap/Status/ArmorBreak/ArmorBreak_%;4;0;9
MentalBreak;7;EmbeddedAsset/BattleMap/Status/MentalBreak/MentalBreak_%;4;0;9
PowerUp;8;EmbeddedAsset/BattleMap/Status/PowerUp/PowerUp_%;4;0;9
MagicUp;9;EmbeddedAsset/BattleMap/Status/MagicUp/MagicUp_%;4;0;9
ArmorUp;10;EmbeddedAsset/BattleMap/Status/ArmorUp/ArmorUp_%;4;0;9
MentalUp;11;EmbeddedAsset/BattleMap/Status/MentalUp/MentalUp_%;4;0;9
Virus;12;EmbeddedAsset/BattleMap/Status/Virus/Virus_%;1;0;9
Dragon;13;EmbeddedAsset/BattleMap/Status/Dragon/Dragon_%;1;0;9
ZombieArmor;14;EmbeddedAsset/BattleMap/Status/ZombieArmor/ZombieArmor_%;4;0;9
MechanicalArmor;15;EmbeddedAsset/BattleMap/Status/MechanicalArmor/MechanicalArmor_%;4;0;9
Redemption;16;EmbeddedAsset/BattleMap/Status/Redemption/Redemption_%;1;0;9
Bulwark;17;EmbeddedAsset/BattleMap/Status/Bulwark/Bulwark_%;1;0;9
PerfectDodge;18;EmbeddedAsset/BattleMap/Status/PerfectDodge/PerfectDodge_%;1;0;9
PerfectCrit;19;EmbeddedAsset/BattleMap/Status/PerfectCrit/PerfectCrit_%;1;0;9
Rage;20;EmbeddedAsset/BattleMap/Status/Rage/Rage_%;1;0;9
